Country Name,Country Code,Series Name,Series Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.3,4.5,2.8,2.8,2,2.3,4.5,4.73,4.17,3.54,5.3,4.4,5.3,6,7.3,7.06,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,..,..,8.347,9.221,9.843,11.461,8.736,6.805,6.139,..
Argentina,ARG,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,72,91,93,87,..
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315145,18.13434587,19.77142309,21.50646841,23.33617884,23.35002797,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.63061505,30.20369881,33.07868957,31.54770801,26.64051213,..
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,..,..
Argentina,ARG,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.874,19.509,19.24,19.421,20.036,19.459,18.405,18.406,19.07,19.675,19.504,19.437,19.246,19.023,19.228,22.328,16.118,15.872,15.028,15.026
Argentina,ARG,"School enrollment, primary (% net)",SE.PRM.NENR,96.32775,..,..,..,..,..,..,..,..,..,..,..,95.45755,..,..,..,96.1759,..,..,..,..,..,100,99.31647,99.16485,98.92861,99.0026,98.95948,98.87379,98.57855,98.81425,98.85437,99.13952,99.13278,99.09709,98.7319,98.91685,99.05122,99.11341,99.44461,99.49576,99.10172,99.184,..,..,..,..,..,..,..
Argentina,ARG,Rural population,SP.RUR.TOTL,4924101,4897441,4871744,4846075,4820146,4793624,4749781,4697589,4645594,4592645,4538938,4484684,4429975,4375226,4320112,4263508,4210943,4197540,4183025,4167464,4150888,4131675,4110989,4088673,4065076,4040694,4014945,3989279,3963080,3935934,3909522,3882967,3855215,3828167,3803176,3778328,3759932,3743539,3726391,3709966,3694242,3675773,3654277,3630442,3601925,3565194,3521217,3475067,3432229,..
Argentina,ARG,Rule of Law: Estimate,RL.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.075552642,..,-0.038881578,..,-0.214404494,..,-0.761098087,-0.777115822,-0.767380178,-0.557991087,-0.577015638,-0.601472259,-0.699731648,-0.694468081,-0.598094225,-0.563123286,-0.623034239,-0.656328619,-0.866627336,-0.748635888,-0.320159525,-0.237312034,-0.21933043,-0.427360445,-0.486265957,-0.477947891,-0.48235181,-0.410826534,..
Argentina,ARG,Rail lines (total route-km),IS.RRS.TOTL.KM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3150,13488,..,..,..,..,..,..,18097,18097,..,17609,17609,17866,17866,..,..,..,..,..
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.377,65.765,66.135,66.338,66.677,66.884,67.095,67.339,67.601,67.952,68.347,68.743,69.108,69.401,69.534,69.569,69.645,69.601,69.595,69.585,69.484,69.363,69.183,68.906,68.976,68.911,68.944,69.528,69.819,70.152,70.335,70.535,70.652,70.665,70.806,70.875,70.975,71.134,71.276,71.437,71.647,71.843,72.062,72.322,72.577,71.58,70.917,72.19,73.566,..
Belize,BLZ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,80,76.7,73.8,70.9,68.1,65.5,63,60.4,57.8,55.2,52.5,49.8,47.1,44.4,41.8,39.3,36.9,34.8,33,31.3,29.9,28.6,27.4,26.4,25.4,24.5,23.6,22.8,22.1,21.5,21,20.6,20.1,19.7,19.3,18.8,18.3,17.7,17,16.3,15.6,15,14.4,13.9,13.5,13.2,13,12.8,12.7,..
Belize,BLZ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,142.49,142.655,141.845,140.908,140.407,140.472,140.514,140.051,139.382,138.35,137.598,135.956,133.357,131.795,129.998,127.885,122.581,115.549,111.718,107.557,106.912,102.401,98.872,102.531,102.19,100.214,97.927,93.953,89.258,87.354,87.146,81.731,78.164,75.791,73.136,70.746,72.665,72.448,72.417,71.121,70.22,70.672,70.413,72.19,65.575,58.522,51.324,53.404,55.232,..
Belize,BLZ,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,..,..
Belize,BLZ,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,..,..,..,..,..,47,44,61,59,53,58,82,85,61,79,91,82,74,85,88,83,85,86,87,87,91,96,89,96,97,96,98,96,94,97,96,95,98,95,95,94,95,88,96,98,79,83,84,85,..
Belize,BLZ,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76,96,97,96,97,96,98,96,94,97,96,95,98,95,95,94,95,88,96,98,79,83,84,85,..
Belize,BLZ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..,21,40,51,43,43,49,85,53,59,71,86,76,69,80,82,83,81,85,84,82,96,94,88,96,97,95,99,96,96,97,98,98,96,99,95,96,95,90,97,96,82,79,81,93,..
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.09182477,3.58663416,3.69127417,3.64453149,3.53016114,3.55393219,3.56430817,4.07201815,4.5307498,4.52340269,4.49390221,4.54752827,4.36309099,4.44159889,4.89683533,4.66880131,4.78280401,4.63350248,4.76723623,4.84424496,5.35447645,5.05842113,4.23173904,..,..
Belize,BLZ,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,138.9914551,163.102005,172.8064575,175.1248627,176.255661,181.2345886,196.1196899,233.6493988,257.8269043,243.306488,244.0286713,252.7346191,247.8272858,262.8865051,298.2259827,287.531189,293.8230286,281.3984985,287.4936829,299.6982422,280.5263062,310.2124939,297.4163208,..,..
Belize,BLZ,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.44479982,68.54499889,68.51506456,68.27906482,68.36535498,65.83893832,66.13825364,66.56504976,67.14339428,67.91274015,68.23221322,68.59216497,68.6768646,68.99062328,69.36707783,69.53008654,69.53820786,69.49950355,68.89168654,68.60420421,68.43473183,68.00728944,67.64054215,69.25163718,67.52498588,66.47129736,66.69456713,65.66945327,64.76215293,64.04663855,63.93683648,63.98274753,63.9540324,..
Belize,BLZ,Urban population,SP.URB.TOTL,65416,66565,67745,68933,70183,71623,73177,74736,76274,77797,79308,80808,82306,83817,85353,86897,88416,89875,91308,92853,94775,97193,100032,103113,106233,109318,112717,116136,119616,123156,126755,130397,134071,137760,141442,144840,148030,151309,154696,158184,161797,165923,170184,173855,176964,179871,182654,186852,191608,..
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.78,11.1,12.48,13.82,12.68,14.31,12.84,..,9.07,10.04,..,..,10.91,9.39,8.51,8.18,..,..,..,..,8.349,8.244,7.578,7,6.596,9.346,9.053,29.283,..,..,..,..
Belize,BLZ,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,89,89,89,89,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,75,67,68,74,..
Belize,BLZ,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,78.69985859,80.00367018,71.8370006,69.05004997,80.76390098,67.07328402,69.67048587,76.84657249,81.49214616,78.41603462,79.41149593,79.13247362,80.28725314,75.71229329,80.86235919,77.28465906,79.50872657,85.41332723,85.26089295,93.27668083,96.54052156,93.11050477,92.99803158,94.31583773,86.34043616,92.95230347,98.85931559,95.89362076,105.4402208,89.54693515,95.03351091,107.1946581,111.6319263,108.7935063,107.1203087,104.0787944,96.46460137,97.69227375,100.6649951,102.1228489,81.82196441,99.3162711,108.5291741,106.5317557,..
Belize,BLZ,Surface area (sq. km),AG.SRF.TOTL.K2,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,..,..
Belize,BLZ,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.035,28.92,28.267,28.015,27.851,28.038,28.161,27.899,27.928,27.785,27.679,27.378,27.378,26.189,24.884,26.686,25.331,24.76,24.528,24.562
Belize,BLZ,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.74424,94.82919,91.96333,..,92.11363,93.30201,92.96664,93.62886,93.3871,93.81454,94.92075,95.41596,95.14914,96.65387,95.743,96.35903,96.20372,96.11602,96.18248,95.94237,..,..,..,..,..,..
Belize,BLZ,Rural population,SP.RUR.TOTL,64971,66534,68142,69780,71495,73439,75609,77812,80023,82247,84488,86746,89032,91363,93754,96179,98624,101108,103594,106244,109371,113117,117414,122060,126826,131481,135662,139873,144164,148532,152976,157481,162029,166601,171172,175405,179268,183105,186931,190739,194536,198782,203018,206371,208865,210941,212692,215881,219498,..
Belize,BLZ,Rule of Law: Estimate,RL.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.084681548,..,-0.106160082,..,0.098326825,..,-0.045510951,0.190566957,-0.052921403,-0.048588708,0.023866652,-0.044806231,-0.133091673,-0.323144495,-0.281174034,-0.469881326,-0.435866833,-0.451571971,-0.814675212,-0.794161618,-0.970615506,-0.974605262,-0.842516541,-0.855883598,-0.826539576,-0.800228,-0.720160663,-0.635611892,..
Belize,BLZ,Rail lines (total route-km),IS.RRS.TOTL.KM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.253,70.946,71.519,72.029,72.537,73.034,73.441,73.865,74.245,74.581,74.765,74.949,75.224,75.546,75.85,76.094,76.237,76.385,76.315,76.329,76.44,76.428,76.603,76.869,77.058,77.317,77.609,77.939,78.214,78.512,78.877,79.049,79.098,79.18,79.372,79.354,79.624,79.925,80.189,80.231,80.407,79.988,79.994,80.09,80.296,79.725,78.05,79.316,80.799,..
Costa Rica,CRI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,45.4,39.3,33.9,29.6,26.5,24.5,23.3,22.9,22.7,22.5,22,21.2,20.1,18.9,17.8,16.9,16.2,15.7,15.3,15.1,14.9,14.7,14.5,14.1,13.6,13.1,12.6,12.2,11.8,11.5,11.3,11.2,11.1,10.9,10.7,10.5,10.2,9.8,9.5,9.2,9,8.9,8.9,8.9,9.1,9.4,9.7,10.1,10.5,..
Costa Rica,CRI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,91.632,92.896,93.614,94.52,95.664,95.063,94.505,94.173,95.717,96.975,97.881,97.333,96.594,95.537,93.363,91.327,89.565,88.96,88.624,88.233,87.309,85.884,84.794,84.286,84.084,83.369,77.475,72.201,69.873,68.151,67.141,65.438,67.715,69.913,68.437,63.057,65.472,65.642,61.182,59.653,56.579,53.376,51.125,49.006,42.097,33.354,27.871,26.451,26.251,..
Costa Rica,CRI,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,..,..
Costa Rica,CRI,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,..,..,..,..,..,86,85,81,86,93,90,89,94,87,86,95,90,90,88,88,85,85,94,85,86,88,91,94,88,90,91,89,89,90,86,88,85,91,95,91,92,97,96,94,95,97,93,95,99,..
Costa Rica,CRI,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76,86,83,89,80,94,86,89,90,88,89,89,87,89,84,91,94,91,92,97,97,98,94,91,87,94,98,..
Costa Rica,CRI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..,60,79,87,84,76,78,90,93,97,77,90,96,92,89,87,91,84,99,83,88,82,82,94,89,88,89,90,90,89,81,83,83,90,91,95,93,93,96,94,95,95,89,90,93,..
Costa Rica,CRI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.56498718,6.47409868,6.8690877,6.9691925,6.63006067,6.66429663,6.93530846,6.99642611,7.4685483,7.86019182,8.02937698,8.12197781,7.78642273,7.68229342,7.66376209,7.59196186,7.31724358,7.04522991,7.28587723,7.2212491,7.82545757,7.61130476,7.18368196,..,..
Costa Rica,CRI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,250.3095093,258.0005798,279.4170532,290.8330994,293.7754822,313.483551,364.5242615,429.4189453,518.1114502,537.0631714,663.6916504,753.4263306,788.5310059,829.9365845,836.2312012,889.3762207,884.7302856,867.767334,917.3101807,930.4351196,969.8909912,977.1483154,978.8415527,..,..
Costa Rica,CRI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.03951641,75.35036408,75.32333274,75.28828258,74.80074474,74.63534426,73.31285275,74.35201216,74.37490204,73.73777962,72.41356358,71.87285879,72.96857393,72.20707329,74.98556398,74.22469023,76.60212984,76.39237078,76.20724948,76.12618692,73.18261939,72.44957392,69.83583438,70.31502747,70.57065449,71.68961498,71.50775855,71.87563932,72.26626292,72.19298133,72.60722497,72.84269376,73.04781163,..
Costa Rica,CRI,Urban population,SP.URB.TOTL,865318,895579,927125,960062,994505,1030339,1067409,1105941,1145916,1188200,1246054,1305864,1367205,1429943,1494184,1560947,1630452,1702297,1776086,1851630,1928827,2007358,2086543,2166204,2246082,2325314,2421805,2516870,2610745,2704346,2798442,2892489,2986190,3080955,3175727,3268265,3359093,3448793,3535695,3620198,3703240,3783361,3859792,3933533,4003442,4066271,4120095,4169182,4218287,..
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.051,6.396,6.654,6.445,6.749,5.926,4.557,4.934,7.824,7.171,9.518,9.11,8.218,8.499,8.415,8.085,7.729,9.01,10.807,16.432,15.139,11.325,8.325,..
Costa Rica,CRI,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81,81,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,81,81,81,69,69,77,94,..
Costa Rica,CRI,Trade (% of GDP),NE.TRD.GNFS.ZS,68.60978582,63.8196715,67.20368367,64.21264004,64.11619,63.29690378,91.44453685,87.24877018,72.82011228,68.35352728,63.1993363,61.83621253,67.39880098,69.83549054,73.58296,75.28516419,71.4396757,76.09623548,79.35233683,77.997308,79.77437455,84.05716401,87.6131981,92.03802124,87.53861377,86.52492351,80.85275872,80.41394434,83.32770754,85.2564772,89.22266389,89.81455461,86.45659584,86.40151271,69.75931773,67.51208968,68.63914651,67.0485393,64.06641059,65.19124205,60.75356194,62.17847818,65.07195374,66.94534202,65.76053002,60.13988625,70.7816423,82.22753254,72.47199908,..
Costa Rica,CRI,Surface area (sq. km),AG.SRF.TOTL.K2,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,..,..
Costa Rica,CRI,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.655,18.469,17.472,17.325,19.637,19.088,21.144,17.571,17.966,18.306,18.648,20.447,19.96,18.678,17.582,19.946,18.991,17.181,20.883,20.817
Costa Rica,CRI,"School enrollment, primary (% net)",SE.PRM.NENR,90.45446,92.63459,..,91.58518,90.11473,90.0067,90.38827,88.50526,..,..,85.62774,86.46311,86.5685,..,86.84742,86.79922,87.26552,89.03262,89.38238,88.44138,89.54187,91.47044,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.39715,98.48145,97.84257,96.98747,97.60783,98.18412,96.34224,97.33255,..,..,..,..,..,..
Costa Rica,CRI,Rural population,SP.RUR.TOTL,1227401,1252195,1277900,1304448,1331985,1360294,1389228,1418865,1449237,1479395,1495840,1511352,1525494,1538160,1549643,1560759,1571724,1581961,1591348,1599492,1606349,1611655,1615168,1616634,1616019,1612425,1587142,1558835,1528039,1495732,1462798,1428851,1394058,1359101,1324064,1287697,1250740,1215141,1180452,1146921,1114798,1083637,1053385,1024285,996111,968049,939893,912583,887238,..
Costa Rica,CRI,Rule of Law: Estimate,RL.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.618176877,..,0.633012652,..,0.537079811,..,0.554997206,0.526866555,0.502903223,0.49726367,0.389714092,0.354344755,0.453689337,0.5788095,0.53576088,0.443259001,0.528911471,0.56385529,0.583374798,0.492798924,0.431041658,0.428868711,0.467835367,0.529464185,0.498832434,0.423667222,0.435932785,0.389316648,..
Costa Rica,CRI,Rail lines (total route-km),IS.RRS.TOTL.KM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,581,581,581,581,581,581,848,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.422,54.375,54.047,54.709,53.805,48.589,50.889,53.342,54.373,56.571,58.031,59.329,59.402,59.977,61.254,61.981,62.542,62.944,63.998,64.47,64.903,65.48,66.248,66.655,67.285,67.711,67.965,68.526,68.792,69.295,69.336,69.612,69.82,70.138,70.359,70.909,71.192,71.42,71.225,71.144,70.952,70.908,71.007,71.384,71.725,70.244,69.941,71.969,72.099,..
